state,district,latitude,longitude,region
Andaman and Nicobar,Nicobars,6.9987,93.8237,Islands
Andaman and Nicobar,North And Middle Andaman,13.2284,92.9529,Islands
Andaman and Nicobar,South Andamans,10.7064,92.4891,Islands
Andhra Pradesh,Alluri Sitharama Raju,17.8861,82.214,South India
Andhra Pradesh,Anakapalli,17.6711,82.7496,South India
Andhra Pradesh,Anantapur,14.7238,77.4305,South India
Andhra Pradesh,Annamayya,13.8965,78.6534,South India
Andhra Pradesh,Bapatla,15.9336,80.3867,South India
Andhra Pradesh,Chittoor,13.2036,79.0037,South India
Andhra Pradesh,East Godavari,16.9963,81.7158,South India
Andhra Pradesh,Eluru,17.0025,81.0887,South India
Andhra Pradesh,Guntur,16.2851,80.5698,South India
Andhra Pradesh,Kakinada,17.12,82.1844,South India
Andhra Pradesh,Konaseema,16.6437,82.0769,South India
Andhra Pradesh,Krishna,16.2098,81.026,South India
Andhra Pradesh,Kurnool,15.5478,77.5542,South India
Andhra Pradesh,Nandyal,15.5248,78.4149,South India
Andhra Pradesh,Ntr,16.8167,80.2502,South India
Andhra Pradesh,Palnadu,16.3231,79.6976,South India
Andhra Pradesh,Parvathipuram Manyam,18.7518,83.5478,South India
Andhra Pradesh,Prakasam,15.6637,79.4732,South India
Andhra Pradesh,Spsr Nellore,14.7172,79.6584,South India
Andhra Pradesh,Sri Sathya Sai,14.168,77.964,South India
Andhra Pradesh,Srikakulam,18.6228,84.1474,South India
Andhra Pradesh,Tirupati,13.7797,79.8349,South India
Andhra Pradesh,Visakhapatanam,17.805,83.2832,South India
Andhra Pradesh,Vizianagaram,18.2759,83.4662,South India
Andhra Pradesh,West Godavari,16.6443,81.6997,South India
Andhra Pradesh,Y.S.R.,14.6707,78.6561,South India
Arunachal Pradesh,Anjaw,28.0366,96.8464,Northeast India
Arunachal Pradesh,Changlang,27.2695,96.0594,Northeast India
Arunachal Pradesh,Dibang Valley,28.8708,95.9284,Northeast India
Arunachal Pradesh,East Kameng,27.5649,92.9723,Northeast India
Arunachal Pradesh,East Siang,28.0689,95.3927,Northeast India
