state,district,lat,lon,week1_rgb,week1_anomaly_mm_day,week1_signal,week1_pixel,week2_rgb,week2_anomaly_mm_day,week2_signal,week2_pixel,week3_rgb,week3_anomaly_mm_day,week3_signal,week3_pixel,week4_rgb,week4_anomaly_mm_day,week4_signal,week4_pixel
Bihar,Gaya,24.7937,84.9893,"(255,202,89)",-3.0,below_normal,"(191,185)","(255,244,165)",-1.0,near_normal,"(497,185)","(255,255,255)",0.0,near_normal,"(185,521)","(255,244,165)",-1.0,near_normal,"(490,521)"
Bihar,Patna,25.5941,85.1376,"(255,244,165)",-1.0,near_normal,"(192,178)","(255,255,255)",0.0,near_normal,"(498,178)","(255,255,255)",0.0,near_normal,"(186,514)","(255,244,165)",-1.0,near_normal,"(491,514)"
Uttar Pradesh,Varanasi,25.3176,82.9739,"(255,202,89)",-3.0,below_normal,"(177,180)","(255,244,165)",-1.0,near_normal,"(483,180)","(255,255,255)",0.0,near_normal,"(171,516)","(255,244,165)",-1.0,near_normal,"(476,516)"
Uttar Pradesh,Lucknow,26.8467,80.9462,"(255,202,89)",-3.0,below_normal,"(162,167)","(255,244,165)",-1.0,near_normal,"(468,167)","(255,255,255)",0.0,near_normal,"(156,503)","(255,255,255)",0.0,near_normal,"(461,503)"
Maharashtra,Yavatmal,20.3898,78.1308,"(255,202,89)",-3.0,below_normal,"(142,223)","(60,60,135)",10.0,above_normal,"(448,223)","(255,244,165)",-1.0,near_normal,"(136,559)","(255,244,165)",-1.0,near_normal,"(441,559)"
Maharashtra,Nagpur,21.1458,79.0882,"(255,202,89)",-3.0,below_normal,"(149,216)","(0,0,30)",14.9,above_normal,"(455,216)","(255,255,255)",0.0,near_normal,"(143,552)","(255,244,165)",-1.0,near_normal,"(448,552)"
Rajasthan,Jaipur,26.9124,75.7873,"(255,255,255)",0.0,near_normal,"(125,167)","(255,244,165)",-1.0,near_normal,"(431,167)","(255,244,165)",-1.0,near_normal,"(119,503)","(255,244,165)",-1.0,near_normal,"(424,503)"
Rajasthan,Jodhpur,26.2389,73.0243,"(255,255,255)",0.0,near_normal,"(105,173)","(255,255,255)",0.0,near_normal,"(411,173)","(255,244,165)",-1.0,near_normal,"(99,509)","(255,255,255)",0.0,near_normal,"(404,509)"
Andhra Pradesh,Anantapur,14.6798,77.6008,"(140,140,191)",3.0,above_normal,"(138,272)","(255,255,255)",0.0,near_normal,"(444,272)","(140,140,191)",3.0,above_normal,"(132,608)","(255,202,89)",-3.0,below_normal,"(437,608)"
Andhra Pradesh,Kurnool,15.8281,78.0373,"(140,140,191)",3.0,above_normal,"(141,262)","(255,255,255)",0.0,near_normal,"(447,262)","(200,200,233)",1.0,near_normal,"(135,598)","(255,202,89)",-3.0,below_normal,"(440,598)"
